month,onset,offset,onset_500,offset_500,object,FemaleAdult,MaleAdult,Child,Electronic,Overlap,FirstPass,subj
6,2160230,2161550,2159730,2162050,couch,NA,NA,NA,NA,NA,NA,357
6,2327170,2330780,2326670,2331280,mantle,NA,NA,NA,NA,NA,NA,357
6,2327170,2330780,2326670,2331280,nutcrackers,NA,NA,NA,NA,NA,NA,357
6,2621840,2625830,2621340,2626330,doorbell,NA,NA,NA,NA,NA,NA,357
6,2621840,2625830,2621340,2626330,horn,NA,NA,NA,NA,NA,NA,357
6,6539660,6540660,6539160,6541160,hands,NA,NA,NA,NA,NA,NA,357
6,6563080,6564000,6562580,6564500,steps,NA,NA,NA,NA,NA,NA,357
6,6612820,6613720,6612320,6614220,Little+red+riding+hood,NA,NA,NA,NA,NA,NA,357
6,6662420,6671890,6661920,6672390,Little+red+riding+hood,NA,NA,NA,NA,NA,NA,357
6,6662420,6671890,6661920,6672390,beggar,NA,NA,NA,NA,NA,NA,357
6,6678620,6685020,6678120,6685520,wolf,NA,NA,NA,NA,NA,NA,357
6,6678620,6685020,6678120,6685520,beggar,NA,NA,NA,NA,NA,NA,357
6,6701140,6704150,6700640,6704650,house,NA,NA,NA,NA,NA,NA,357
6,6701140,6704150,6700640,6704650,wolf,NA,NA,NA,NA,NA,NA,357
6,6725430,6726030,6724930,6726530,wolf,NA,NA,NA,NA,NA,NA,357
6,7065940,7068470,7065440,7068970,toilet,NA,NA,NA,NA,NA,NA,357
6,7267290,7269560,7266790,7270060,ear,NA,NA,NA,NA,NA,NA,357
6,7541900,7548070,7541400,7548570,tree,NA,NA,NA,NA,NA,NA,357
6,7968230,7969430,7967730,7969930,bottle,NA,NA,NA,NA,NA,NA,357
6,9187490,9188090,9186990,9188590,tummy+time,NA,NA,NA,NA,NA,NA,357
6,9451290,9453400,9450790,9453900,deck,NA,NA,NA,NA,NA,NA,357
6,9451290,9453400,9450790,9453900,bunny+rabbit,NA,NA,NA,NA,NA,NA,357
6,9451290,9453400,9450790,9453900,bunny,NA,NA,NA,NA,NA,NA,357
6,9707340,9708340,9706840,9708840,diaper,NA,NA,NA,NA,NA,NA,357
6,13194830,13198530,13194330,13199030,sweet+peas,NA,NA,NA,NA,NA,NA,357
6,13340060,13341880,13339560,13342380,jacket,NA,NA,NA,NA,NA,NA,357
6,13390080,13392420,13389580,13392920,jacket,NA,NA,NA,NA,NA,NA,357
6,13775630,13776800,13775130,13777300,organizer,NA,NA,NA,NA,NA,NA,357
6,15536570,15537800,15536070,15538300,car+seat,NA,NA,NA,NA,NA,NA,357
6,15942570,15945420,15942070,15945920,book,NA,NA,NA,NA,NA,NA,357
6,16502210,16504620,16501710,16505120,vacuum,NA,NA,NA,NA,NA,NA,357
6,16794870,16795700,16794370,16796200,legs,NA,NA,NA,NA,NA,NA,357
6,18176590,18180870,18176090,18181370,tummy+time,NA,NA,NA,NA,NA,NA,357
6,18586270,18587430,18585770,18587930,nose,NA,NA,NA,NA,NA,NA,357
6,18601630,18604270,18601130,18604770,doggy,NA,NA,NA,NA,NA,NA,357
6,18696770,18697770,18696270,18698270,peas,NA,NA,NA,NA,NA,NA,357
6,19075580,19079580,19075080,19080080,mouth,NA,NA,NA,NA,NA,NA,357
6,19079580,19080430,19079080,19080930,mouth,NA,NA,NA,NA,NA,NA,357
6,19269800,19271100,19269300,19271600,milk,NA,NA,NA,NA,NA,NA,357
6,19271910,19273050,19271410,19273550,peas,NA,NA,NA,NA,NA,NA,357
6,19742470,19743650,19741970,19744150,bottle,NA,NA,NA,NA,NA,NA,357
6,20048520,20050860,20048020,20051360,peas,NA,NA,NA,NA,NA,NA,357
6,20071370,20073280,20070870,20073780,feet,NA,NA,NA,NA,NA,NA,357
6,20333100,20334100,20332600,20334600,phone,NA,NA,NA,NA,NA,NA,357
6,20364140,20365750,20363640,20366250,broken+toilet,NA,NA,NA,NA,NA,NA,357
6,20470000,20471000,20469500,20471500,phone+charger,NA,NA,NA,NA,NA,NA,357
6,22028260,22029630,22027760,22030130,baby,NA,NA,NA,NA,NA,NA,357
6,25020660,25024690,25020160,25025190,house,NA,NA,NA,NA,NA,NA,357
6,25053660,25055240,25053160,25055740,shirt,NA,NA,NA,NA,NA,NA,357
6,28107860,28110240,28107360,28110740,bed+time,NA,NA,NA,NA,NA,NA,357
6,28107860,28110240,28107360,28110740,hundred+acre+wood,NA,NA,NA,NA,NA,NA,357
6,28239730,28241510,28239230,28242010,Kanga,NA,NA,NA,NA,NA,NA,357
6,28263680,28266120,28263180,28266620,jumpers,NA,NA,NA,NA,NA,NA,357
6,28302260,28303460,28301760,28303960,face,NA,NA,NA,NA,NA,NA,357
6,28320600,28322390,28320100,28322890,diaper,NA,NA,NA,NA,NA,NA,357
6,28694710,28695770,28694210,28696270,rainstick,NA,NA,NA,NA,NA,NA,357
6,28788460,28789550,28787960,28790050,rings,NA,NA,NA,NA,NA,NA,357
6,28975350,28978070,28974850,28978570,toofers,NA,NA,NA,NA,NA,NA,357
6,30259690,30260900,30259190,30261400,hand,NA,NA,NA,NA,NA,NA,357
6,30794630,30796320,30794130,30796820,page,NA,NA,NA,NA,NA,NA,357
6,31177380,31178270,31176880,31178770,rat,NA,NA,NA,NA,NA,NA,357
7,427260,428300,426760,428800,bed+time,NA,NA,NA,NA,NA,NA,357
7,452940,453980,452440,454480,sun,NA,NA,NA,NA,NA,NA,357
7,484740,486870,484240,487370,skyscraper,NA,NA,NA,NA,NA,NA,357
7,584820,590480,584320,590980,babies,NA,NA,NA,NA,NA,NA,357
7,584820,590480,584320,590980,coffee,NA,NA,NA,NA,NA,NA,357
7,1336220,1337360,1335720,1337860,square,NA,NA,NA,NA,NA,NA,357
7,1339630,1340370,1339130,1340870,heart,NA,NA,NA,NA,NA,NA,357
7,1412820,1413620,1412320,1414120,train,NA,NA,NA,NA,NA,NA,357
7,1478440,1481410,1477940,1481910,seat+belt,NA,NA,NA,NA,NA,NA,357
7,2856020,2858660,2855520,2859160,windshield,NA,NA,NA,NA,NA,NA,357
7,11066480,11067840,11065980,11068340,diaper+genie,NA,NA,NA,NA,NA,NA,357
7,11066480,11067840,11065980,11068340,diapers,NA,NA,NA,NA,NA,NA,357
7,11539930,11541380,11539430,11541880,shirt,NA,NA,NA,NA,NA,NA,357
7,12034110,12037710,12033610,12038210,bed,NA,NA,NA,NA,NA,NA,357
